Pack,nCopies,Card,Mana Cost,Adj. Games Played,Adj. Wins,Adj. Losses,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Tier,Turns to Win,Turns to Lose
J25 Angels 2,1,"Inspiring Overseer",{2}{W},948,612,336,948,612,336,0.6455696202531646,56.74914620179922,62.18967433029323,1.8135093761646703,C,18.658496732026144,20.625
J25 Angels 2,1,"Herald of War",{3}{W}{W},918,602,316,918,602,316,0.6557734204793029,85.94600301829142,91.4369668494198,1.8303212770427963,B,19.006644518272424,20.39873417721519
J25 Angels 2,1,"Rally of Wings",{1}{W},927,600,327,927,600,327,0.6472491909385113,62.07650310238176,67.80141908620753,1.908305327941924,C,19.266666666666666,20.07033639143731
J25 Angels 2,1,"Secluded Steppe",no cost,1014,565,449,1014,565,449,0.5571992110453649,18.695395339984234,24.116885282172454,1.80716331406274,E,19.120353982300884,19.962138084632517
J25 Angels 2,1,"Angelic Edict",{4}{W},895,552,343,895,552,343,0.6167597765363129,77.80306299249925,83.13666844820979,1.7778684852368487,B,20.15036231884058,21.163265306122447
J25 Angels 2,1,"Herald of the Sun",{4}{W}{W},817,527,290,817,527,290,0.6450428396572827,97.03241909631829,102.33124710452782,1.7662760027365079,A,19.872865275142313,20.751724137931035
J25 Angels 2,1,"Faithful Pikemaster",{3}{W},904,514,390,904,514,390,0.5685840707964602,56.57650314981244,61.94776752731133,1.790421459166295,C,20.0,20.887179487179488
J25 Angels 2,1,"Starnheim Memento",{3},824,413,411,824,413,411,0.5012135922330098,32.567266317177705,37.954992882234244,1.7959088550188467,D,20.038740920096853,20.48175182481752
J25 Armed 1,1,"Pacifism",{1}{W},1083,599,484,1083,599,484,0.5530932594644506,62.61636377888959,67.86727344660751,1.750303222572641,C,21.03338898163606,21.289256198347108
J25 Armed 1,1,"Valkyrie's Sword",{1}{W},1122,577,545,1122,577,545,0.5142602495543672,79.77023314390367,84.95169195761248,1.7271529379029376,B,21.145580589254767,19.691743119266054
J25 Armed 1,1,"Ancestral Blade",{1}{W},1089,562,527,1089,562,527,0.5160697887970616,49.52963515115785,54.892254143948136,1.7875396642634296,C,21.165480427046262,20.96394686907021
J25 Armed 1,1,"Mirran Bardiche",{4}{W},1009,552,457,1009,552,457,0.5470763131813677,78.36579589065038,83.62657824119096,1.7535941168468598,B,21.559782608695652,21.660831509846826
J25 Armed 1,1,"Starnheim Courser",{2}{W},1026,512,514,1026,512,514,0.49902534113060426,69.97342328978316,75.36954315973321,1.7987066233166862,B,21.12109375,20.815175097276263
J25 Armed 1,1,"Danitha Capashen, Paragon",{2}{W},1042,509,533,1042,509,533,0.4884836852207294,69.03874227291327,74.40739083737958,1.7895495214887707,B,21.823182711198427,21.592870544090058
J25 Armed 1,1,"Sunspear Shikari",{1}{W},984,505,479,984,505,479,0.5132113821138211,66.11668772680169,71.46953545532052,1.7842825761729482,C,21.663366336633665,21.686847599164928
J25 Armed 1,1,"Fencing Ace",{1}{W},1006,497,509,1006,497,509,0.49403578528827036,47.36497725942908,52.60725778557713,1.747426842049349,C,21.22132796780684,21.359528487229863
J25 Armed 1,1,"Faithful Pikemaster",{3}{W},925,442,483,925,442,483,0.47783783783783784,50.392780663945544,55.70380728117537,1.7703422057432772,C,21.6289592760181,21.358178053830226
J25 Armed 1,1,"Divine Arrow",{1}{W},782,351,431,782,351,431,0.44884910485933505,59.668345700837705,64.89334533487467,1.7416665446789876,C,22.5982905982906,22.498839907192576
J25 Armed 1,1,"Starnheim Memento",{3},858,341,517,858,341,517,0.3974358974358974,26.561277532093303,31.878860155442183,1.7725275411162935,D,22.683284457478006,21.145067698259187
J25 Armed 2,1,"Hexgold Hoverwings",{3}{W},979,693,286,979,693,286,0.7078651685393258,102.07022938335744,107.42967926211726,1.7864832929199383,A,19.955266955266957,20.447552447552447
J25 Armed 2,1,"Ancestral Blade",{1}{W},1012,661,351,1012,661,351,0.6531620553359684,65.6369893061879,71.07327349417919,1.812094729330432,C,20.18910741301059,20.566951566951566
J25 Armed 2,1,"Mirran Bardiche",{4}{W},974,645,329,974,645,329,0.662217659137577,75.72442036333594,81.14282784454721,1.8061358270704246,B,21.015503875968992,20.501519756838906
J25 Armed 2,1,"Stone Haven Outfitter",{1}{W},1024,640,384,1024,640,384,0.625,47.06244423984,52.42398112301555,1.787178961058517,C,20.3109375,19.927083333333332
J25 Armed 2,1,"Plate Armor",{2}{W},1023,636,387,1023,636,387,0.6217008797653959,90.67804747331485,96.01906935171779,1.7803406261343122,A,20.60691823899371,18.496124031007753
J25 Armed 2,1,"Danitha Capashen, Paragon",{2}{W},981,623,358,981,623,358,0.6350662589194699,67.8465906090064,73.23078898421659,1.7947327917367282,B,21.515248796147674,20.74581005586592
J25 Armed 2,1,"Pacifism",{1}{W},993,613,380,993,613,380,0.6173212487411883,62.964894097238236,68.25676261503776,1.7639561725998407,C,20.784665579119086,20.923684210526314
J25 Armed 2,1,"Light the Way",{W},1027,611,416,1027,611,416,0.5949367088607594,45.142989572744256,50.45383770358616,1.7702827102806336,C,20.72340425531915,19.814903846153847
J25 Armed 2,1,"Fencing Ace",{1}{W},962,587,375,962,587,375,0.6101871101871101,57.5929613699746,62.91537593715191,1.7741381890591008,C,20.667802385008518,20.418666666666667
J25 Armed 2,1,"Faithful Pikemaster",{3}{W},824,497,327,824,497,327,0.6031553398058253,61.62445324136344,66.94888340007773,1.7748100529047643,C,21.59758551307847,20.837920489296636
J25 Armed 2,1,"Militant Inquisitor",{2}{W},841,483,358,841,483,358,0.5743162901307967,50.47295530610806,55.89805165108905,1.8083654483269964,C,21.467908902691512,20.776536312849164
J25 Armed 2,1,"Divine Arrow",{1}{W},635,332,303,635,332,303,0.5228346456692914,52.7109783965508,57.927663482610754,1.738895028686651,C,22.397590361445783,21.405940594059405
J25 Armed 3,1,"Maul of the Skyclaves",{2}{W},1065,739,326,1065,739,326,0.6938967136150235,92.04325118494256,97.21503467388447,1.7239278296473028,A,17.66576454668471,18.616564417177916
J25 Armed 3,1,"Pacifism",{1}{W},1100,653,447,1100,653,447,0.5936363636363636,47.06958886942802,52.63992243621828,1.8567778555967536,C,19.37825421133231,20.06711409395973
J25 Armed 3,1,"Ancestral Blade",{1}{W},1037,624,413,1037,624,413,0.6017357762777242,53.15924099038703,58.61315232877551,1.8179704461294932,C,18.849358974358974,19.605326876513317
J25 Armed 3,1,"Danitha Capashen, Paragon",{2}{W},1010,621,389,1010,621,389,0.6148514851485148,73.65817739193912,79.11301500570966,1.818279204590178,B,19.782608695652176,20.12853470437018
J25 Armed 3,1,"Valkyrie's Sword",{1}{W},1042,577,465,1042,577,465,0.553742802303263,61.81306712609642,67.12163946573482,1.7695241132127986,C,19.38994800693241,18.210752688172043
J25 Armed 3,1,"Mirran Bardiche",{4}{W},936,573,363,936,573,363,0.6121794871794872,74.36563259654923,79.70882961404706,1.781065672499275,B,19.657940663176266,20.429752066115704
J25 Armed 3,1,"Flutterfox",{1}{W},970,569,401,970,569,401,0.5865979381443299,60.10893124379257,65.43375595587489,1.7749415706941047,C,18.9701230228471,20.017456359102244
J25 Armed 3,1,"Fencing Ace",{1}{W},965,566,399,965,566,399,0.5865284974093264,53.97418043351276,59.370153905072655,1.7986578238532998,C,18.957597173144876,19.87719298245614
J25 Armed 3,1,"Resistance Reunited",{1}{W},872,559,313,872,559,313,0.6410550458715596,57.55059432740779,62.9823681129336,1.8105912618419382,C,19.162790697674417,20.549520766773163
J25 Armed 3,1,"Faithful Pikemaster",{3}{W},914,521,393,914,521,393,0.5700218818380745,49.10142822129524,54.492597312197596,1.7970563636341186,C,20.07485604606526,20.251908396946565
J25 Armed 3,1,"Militant Inquisitor",{2}{W},827,468,359,827,468,359,0.56590084643289,59.11842919896776,64.62918490457784,1.836918568536694,C,19.942307692307693,19.922005571030642
J25 Armed 3,1,"Trusty Retriever",{3}{W},715,384,331,715,384,331,0.5370629370629371,55.61477581137916,60.9179040132006,1.7677094006071443,C,20.596354166666668,20.610271903323262
J25 Armed 4,1,"Ancestral Blade",{1}{W},1071,646,425,1071,646,425,0.6031746031746031,67.19862516747132,72.48084604036143,1.760740290963368,C,21.20123839009288,20.19058823529412
J25 Armed 4,1,"Plate Armor",{2}{W},1065,635,430,1065,635,430,0.596244131455399,74.99105103928225,80.23530117191812,1.7480833775452878,B,21.388976377952755,19.037209302325582
J25 Armed 4,1,"Godsend",{1}{W}{W},1020,628,392,1020,628,392,0.615686274509804,79.302129431876,84.53548037535816,1.744450314494056,B,21.46656050955414,19.331632653061224
J25 Armed 4,1,"Danitha Capashen, Paragon",{2}{W},1061,627,434,1061,627,434,0.590951932139491,80.71230690106727,86.12709142295738,1.8049281739633687,B,21.658692185007975,20.472350230414747
J25 Armed 4,1,"Pacifism",{1}{W},1030,622,408,1030,622,408,0.6038834951456311,66.61661102736943,71.96964599764756,1.7843449900927102,C,21.422829581993568,20.24019607843137
J25 Armed 4,1,"Mirran Bardiche",{4}{W},966,618,348,966,618,348,0.639751552795031,83.68633045902453,89.0137166464378,1.7757953958044204,B,22.024271844660195,20.54022988505747
J25 Armed 4,1,"Sunspear Shikari",{1}{W},1003,612,391,1003,612,391,0.6101694915254238,70.57135475246692,75.86022633702225,1.7629571948517788,B,21.609477124183005,20.470588235294116
J25 Armed 4,1,"Fencing Ace",{1}{W},959,561,398,959,561,398,0.5849843587069864,54.74133797236752,59.99545749185128,1.7513731731612554,C,20.998217468805706,19.962311557788944
J25 Armed 4,1,"Militant Inquisitor",{2}{W},934,541,393,934,541,393,0.5792291220556746,74.76110216256454,80.06711581093616,1.768671216123872,B,21.702402957486136,20.572519083969464
J25 Armed 4,1,"Faithful Pikemaster",{3}{W},927,532,395,927,532,395,0.5738942826321467,56.17543474501398,61.39776766944965,1.7407776414785554,C,22.278195488721803,20.615189873417723
J25 Armed 4,1,"Deadly Riposte",{1}{W},855,454,401,855,454,401,0.5309941520467836,60.47593271082252,65.96117010835503,1.8284124658441718,C,22.169603524229075,20.758104738154614
J25 Armed 4,1,"Thopter Architect",{3}{W},773,413,360,773,413,360,0.5342820181112549,59.364636510691604,64.68311005905497,1.7728245161211218,C,22.791767554479417,21.322222222222223
J25 Beasts 1,1,"Slinza, the Spiked Stampede",{4}{G},1059,654,405,1059,654,405,0.6175637393767706,89.1468119774495,94.78171211699869,1.8783000465163961,B,20.474006116207953,21.612345679012346
J25 Beasts 1,1,"Spined Tyrranax",{4}{G},1012,614,398,1012,614,398,0.6067193675889329,103.96729564963454,109.26562906637892,1.7661111389147965,A,20.175895765472312,21.09547738693467
J25 Beasts 1,1,"Brushstrider",{1}{G},1107,599,508,1107,599,508,0.5411020776874436,56.862964797815785,62.56378678391799,1.900273995367401,C,19.776293823038397,20.862204724409448
J25 Beasts 1,1,"Obstinate Baloth",{2}{G}{G},976,599,377,976,599,377,0.6137295081967213,89.17224231600926,94.738706070111,1.8554879180339123,B,20.42237061769616,22.748010610079575
J25 Beasts 1,1,"Gnarlid Colony",{1}{G},1028,564,464,1028,564,464,0.5486381322957199,52.9953449470538,58.54410983087487,1.8495882946070243,C,20.328014184397162,21.301724137931036
J25 Beasts 1,1,"Hungry Megasloth",{2}{G},1037,555,482,1037,555,482,0.5351976856316297,53.308232657114914,58.89152964782605,1.8610989969037117,C,20.54234234234234,20.83402489626556
J25 Beasts 1,1,"Predator's Strike",{1}{G},924,546,378,924,546,378,0.5909090909090909,60.27530276248056,65.72420172844758,1.8162996553223418,C,19.754578754578755,21.354497354497354
J25 Beasts 1,1,"Advocate of the Beast",{2}{G},939,514,425,939,514,425,0.5473908413205538,71.4405077171153,76.97815861284332,1.8458836319093421,B,20.896887159533073,21.590588235294117
J25 Beasts 1,1,"Woodland Liege",{2}{G},889,459,430,889,459,430,0.5163104611923509,45.33236599090279,50.9005789170599,1.8560709753857056,C,21.095860566448803,20.611627906976743
J25 Beasts 1,1,"Gift of the Gargantuan",{2}{G},828,445,383,828,445,383,0.5374396135265701,38.583274886675014,44.08946783191443,1.8353976484131393,D,21.41797752808989,21.425587467362924
J25 Beasts 1,1,"Explore",{1}{G},646,355,291,646,355,291,0.5495356037151703,23.54150856589309,29.026465043073618,1.8283188257268426,D,19.56338028169014,19.855670103092784
J25 Beasts 2,1,"Brushstrider",{1}{G},1206,744,462,1206,744,462,0.6169154228855721,62.19625273636425,67.68018904771789,1.8279787704512136,C,20.942204301075268,19.995670995670995
J25 Beasts 2,1,"Slinza, the Spiked Stampede",{4}{G},1111,743,368,1111,743,368,0.6687668766876688,81.64649723309402,87.15212393560415,1.8352089008367096,B,21.590847913862717,20.752717391304348
J25 Beasts 2,1,"Baloth Gorger",{2}{G}{G},1163,736,427,1163,736,427,0.6328460877042132,65.50077083023085,71.03087367566019,1.8433676151431149,C,21.26358695652174,20.484777517564403
J25 Beasts 2,1,"Hungry Megasloth",{2}{G},1112,711,401,1112,711,401,0.6393884892086331,77.08185212226354,82.69226314455183,1.8701370074294275,B,21.455696202531644,20.359102244389028
J25 Beasts 2,1,"Bushwhack",{G},1164,670,494,1164,670,494,0.5756013745704467,24.15682110212658,29.777554634263545,1.8735778440456545,D,21.107462686567164,19.504048582995953
J25 Beasts 2,1,"Gnarlid Colony",{1}{G},1100,658,442,1100,658,442,0.5981818181818181,51.9915620697216,57.44959881206054,1.819345580779646,C,21.080547112462007,19.857466063348415
J25 Beasts 2,1,"Garruk's Packleader",{4}{G},969,636,333,969,636,333,0.6563467492260062,69.64217849436642,75.31440901923774,1.8907435082904418,B,21.735849056603772,20.63063063063063
J25 Beasts 2,1,"Advocate of the Beast",{2}{G},1089,633,456,1089,633,456,0.581267217630854,61.33610088736687,66.96369562731918,1.8758649133174388,C,21.44075829383886,20.32456140350877
J25 Beasts 2,1,"Predator's Strike",{1}{G},991,633,358,991,633,358,0.6387487386478304,68.03730471319092,73.64335187768367,1.8686823881642498,B,20.744075829383885,19.622905027932962
J25 Beasts 2,1,"Woodland Liege",{2}{G},998,564,434,998,564,434,0.5651302605210421,38.376422075097324,44.10736708120422,1.910315002035632,D,21.576241134751772,20.129032258064516
J25 Beasts 2,1,"Garruk, Caller of Beasts",{4}{G}{G},716,470,246,716,470,246,0.6564245810055865,35.35135334085996,41.269134088367686,1.9725935825025764,D,22.56382978723404,21.4390243902439
J25 Bloody 1,1,"Soul Sear",{2}{R},1178,586,592,1178,586,592,0.49745331069609505,66.81608973633945,72.46789283291511,1.8839343655252194,C,18.56996587030717,19.84966216216216
J25 Bloody 1,1,"Incorrigible Youths",{3}{R}{R},1112,576,536,1112,576,536,0.5179856115107914,64.930212293777,70.36347752059342,1.8110884089388042,C,18.192708333333332,19.921641791044777
J25 Bloody 1,1,"Flame-Blessed Bolt",{R},1091,552,539,1091,552,539,0.5059578368469294,56.49958404879343,62.1475950622669,1.8826703378244913,C,18.255434782608695,20.211502782931355
J25 Bloody 1,1,"Abandon Reason",{2}{R},938,527,411,938,527,411,0.5618336886993603,52.265852005363925,57.957174231055745,1.897107408563941,C,18.322580645161292,20.552311435523116
J25 Bloody 1,1,"Voldaren Duelist",{3}{R},971,519,452,971,519,452,0.5345005149330587,61.303977040104535,66.66490189921856,1.7869749530380095,C,18.235067437379577,19.940265486725664
J25 Bloody 1,1,"Anje's Ravager",{2}{R},967,501,466,967,501,466,0.5180972078593589,38.320783370604275,43.94980545262384,1.8763406940065224,D,17.734530938123754,19.71459227467811
J25 Bloody 1,1,"Blood Petal Celebrant",{1}{R},967,461,506,967,461,506,0.4767321613236815,49.93450543262529,55.417088361629624,1.827527643001443,C,18.24295010845987,20.134387351778656
J25 Bloody 1,1,"Voldaren Epicure",{R},939,432,507,939,432,507,0.46006389776357826,52.95170421227397,58.61781033553167,1.8887020410859012,C,18.34259259259259,19.881656804733726
J25 Bloody 1,1,"Stolen Vitality",{1}{R},767,426,341,767,426,341,0.5554106910039114,64.31147108987349,69.8161815214844,1.834903477203635,C,18.687793427230048,20.0
J25 Bloody 1,1,"Belligerent Guest",{2}{R},911,425,486,911,425,486,0.4665203073545554,55.64670029049681,61.301545810861995,1.8849485067883955,C,19.03529411764706,20.069958847736626
J25 Bloody 1,1,"Ivora, Insatiable Heir",{1}{R},899,398,501,899,398,501,0.44271412680756395,43.1677931637251,48.69762971054304,1.843278848939313,D,18.70854271356784,19.632734530938123
J25 Bloody 1,1,"Falkenrath Celebrants",{4}{R},723,340,383,723,340,383,0.4702627939142462,64.28625110225516,69.63707143098206,1.7836067762423,C,19.723529411764705,20.87467362924282
J25 Bloody 2,1,"Soul Sear",{2}{R},1133,596,537,1133,596,537,0.5260370697263901,65.12309450284965,70.54417006084,1.807025185996783,C,19.243288590604028,20.067039106145252
J25 Bloody 2,1,"Flame-Blessed Bolt",{R},1047,537,510,1047,537,510,0.5128939828080229,57.07583308253028,62.458206789663095,1.7941245690442713,C,19.21415270018622,20.143137254901962
J25 Bloody 2,1,"Voldaren Duelist",{3}{R},953,526,427,953,526,427,0.5519412381951732,58.08926246955921,63.42314388837964,1.7779604729401448,C,18.583650190114067,19.936768149882905
J25 Bloody 2,1,"Stolen Vitality",{1}{R},890,524,366,890,524,366,0.5887640449438202,50.60270021989551,55.822211986013244,1.739837255372577,C,18.80534351145038,20.128415300546447
J25 Bloody 2,1,"Blood Petal Celebrant",{1}{R},1019,519,500,1019,519,500,0.5093228655544652,47.275145457535885,52.68295540722034,1.8026033165614863,C,18.680154142581888,19.754
J25 Bloody 2,1,"Blood Hypnotist",{2}{R},1000,518,482,1000,518,482,0.518,53.94791536036438,59.42693543629258,1.826340025309401,C,18.915057915057915,19.327800829875518
J25 Bloody 2,1,"Insolent Neonate",{R},1011,505,506,1011,505,506,0.49950544015825915,47.70516186752021,53.11064138025677,1.8018265042455206,C,18.57821782178218,19.83596837944664
J25 Bloody 2,1,"Markov Retribution",{2}{R},944,501,443,944,501,443,0.5307203389830508,58.42337466643892,63.7937298485801,1.7901183940470606,C,19.481037924151696,19.790067720090292
J25 Bloody 2,1,"Markov Blademaster",{1}{R}{R},867,478,389,867,478,389,0.5513264129181085,64.89392039382452,70.17707387459106,1.7610511602555128,C,18.92050209205021,20.272493573264782
J25 Bloody 2,1,"Falkenrath Celebrants",{4}{R},828,452,376,828,452,376,0.5458937198067633,68.33697979997116,73.77134488752306,1.811455029183964,B,19.710176991150444,20.502659574468087
J25 Bloody 2,1,"Ivora, Insatiable Heir",{1}{R},913,439,474,913,439,474,0.48083242059145676,44.497157247935,49.98673344572086,1.829858732595286,D,19.378132118451024,19.837552742616033
J25 Bloody 2,1,"Markov Enforcer",{4}{R}{R},594,395,199,594,395,199,0.664983164983165,110.13040236380448,115.57705018070476,1.8155492723000954,A,20.69367088607595,22.231155778894472
J25 Bloody 3,1,"Flame-Blessed Bolt",{R},1079,544,535,1079,544,535,0.5041705282669138,61.076570116467956,66.51773252673544,1.813720803422496,C,19.011029411764707,20.18317757009346
J25 Bloody 3,1,"Soul Sear",{2}{R},1075,521,554,1075,521,554,0.4846511627906977,58.74048582624511,64.24688629128431,1.8354668216797327,C,19.038387715930902,20.250902527075812
J25 Bloody 3,1,"Voldaren Duelist",{3}{R},896,490,406,896,490,406,0.546875,66.3640703383627,71.75688482506045,1.797604828899253,C,18.3734693877551,20.41625615763547
J25 Bloody 3,1,"Insolent Neonate",{R},1002,474,528,1002,474,528,0.47305389221556887,46.737641594989896,52.16379169023711,1.808716698415738,C,18.49367088607595,19.78219696969697
J25 Bloody 3,1,"Belligerent Guest",{2}{R},974,440,534,974,440,534,0.4517453798767967,46.06953643175769,51.63564818430058,1.8553705841809627,C,18.686363636363637,19.855805243445694
J25 Bloody 3,1,"Blood Petal Celebrant",{1}{R},944,435,509,944,435,509,0.4608050847457627,44.58337052857104,50.03321121022134,1.8166135605501015,D,18.395402298850573,19.93123772102161
J25 Bloody 3,1,"Falkenrath Celebrants",{4}{R},853,428,425,853,428,425,0.5017584994138335,66.86267861058711,72.39478725482644,1.8440362147464442,C,19.044392523364486,20.997647058823528
J25 Bloody 3,1,"Vampiric Fury",{1}{R},816,421,395,816,421,395,0.5159313725490197,59.15928506800634,64.63544844091149,1.8253877909683838,C,18.60332541567696,20.21518987341772
J25 Bloody 3,1,"Ivora, Insatiable Heir",{1}{R},986,421,565,986,421,565,0.42697768762677485,40.38022923352666,45.98804551313772,1.8692720932036855,D,18.56769596199525,20.049557522123894
J25 Bloody 3,1,"Scion of Opulence",{2}{R},910,421,489,910,421,489,0.46263736263736266,46.99388601152437,52.43660503335356,1.8142396739430644,C,18.92399049881235,20.151329243353782
J25 Bloody 3,1,"Markov Warlord",{5}{R},674,403,271,674,403,271,0.5979228486646885,92.99664320047795,98.42491168414628,1.8094228278894433,A,18.977667493796528,21.490774907749078
J25 Bloody 3,1,"Blood Feud",{4}{R}{R},481,209,272,481,209,272,0.43451143451143454,80.01497415315674,85.49389610410071,1.8263073169813222,B,21.593301435406698,22.24264705882353
J25 Bloody 4,1,"Falkenrath Marauders",{3}{R}{R},973,581,392,973,581,392,0.5971223021582733,99.8812960672496,105.13172837346676,1.7501441020723882,A,18.919104991394146,19.910714285714285
J25 Bloody 4,1,"Soul Sear",{2}{R},1125,550,575,1125,550,575,0.4888888888888889,54.327682070405125,59.74880239466853,1.8070401080878025,C,19.592727272727274,20.16
J25 Bloody 4,1,"Voldaren Duelist",{3}{R},963,524,439,963,524,439,0.5441329179646937,64.81999863876437,70.26725550460863,1.815752288614749,C,18.84732824427481,20.284738041002278
J25 Bloody 4,1,"Blood Petal Celebrant",{1}{R},1008,488,520,1008,488,520,0.48412698412698413,51.41713029379074,56.90871362869903,1.8305277783027636,C,19.2827868852459,20.078846153846154
J25 Bloody 4,1,"Stolen Vitality",{1}{R},835,472,363,835,472,363,0.5652694610778443,58.39843150995103,63.795779754163476,1.7991160814041478,C,19.49576271186441,20.738292011019283
J25 Bloody 4,1,"Belligerent Guest",{2}{R},1000,462,538,1000,462,538,0.462,51.77809628309433,57.022676055906956,1.7481932576042103,C,19.816017316017316,20.202602230483272
J25 Bloody 4,1,"Voldaren Epicure",{R},958,450,508,958,450,508,0.4697286012526096,37.85058869877053,43.34945230844301,1.8329545365574953,D,19.233333333333334,20.18503937007874
J25 Bloody 4,1,"Ivora, Insatiable Heir",{1}{R},936,419,517,936,419,517,0.44764957264957267,36.5872797880405,42.084838398848376,1.83251953693596,D,20.05489260143198,19.785299806576404
J25 Bloody 4,1,"Neonate's Rush",{2}{R},835,409,426,835,409,426,0.48982035928143713,52.36588405028962,57.76661612762264,1.8002440257776715,C,20.012224938875306,19.802816901408452
J25 Bloody 4,1,"Falkenrath Celebrants",{4}{R},829,408,421,829,408,421,0.49215922798552475,70.18409818440125,75.41215676787755,1.7426861944921004,B,20.647058823529413,21.049881235154395
J25 Bloody 4,1,"Voldaren Ambusher",{2}{R},796,326,470,796,326,470,0.40954773869346733,55.687195389881325,61.213068114670406,1.8419575749296935,C,21.003067484662576,20.346808510638297
J25 Bloody 4,1,"Blood Feud",{4}{R}{R},545,280,265,545,280,265,0.5137614678899083,88.37783064922496,93.83340766319422,1.8185256713230864,B,21.832142857142856,22.237735849056605
J25 Bookworms 1,1,"Cartouche of Knowledge",{1}{U},1066,521,545,1066,521,545,0.48874296435272047,58.38966317771177,63.64677370783407,1.7523701767074356,C,19.71401151631478,19.495412844036696
J25 Bookworms 1,1,"Blink of an Eye",{1}{U},1260,496,764,1260,496,764,0.39365079365079364,26.993900468195875,32.45407862638993,1.8200593860646852,D,20.441532258064516,19.596858638743456
J25 Bookworms 1,1,"Sky-Eel School",{3}{U}{U},1006,456,550,1006,456,550,0.4532803180914513,74.8943143684629,80.20745991005695,1.771048513864686,B,20.80701754385965,20.734545454545454
J25 Bookworms 1,1,"Mystic Skyfish",{2}{U},1138,448,690,1138,448,690,0.3936731107205624,61.9124833450432,67.32949676948971,1.805671141482171,C,20.622767857142858,20.020289855072463
J25 Bookworms 1,1,"Lat-Nam Adept",{3}{U},1116,444,672,1116,444,672,0.3978494623655914,56.95180140881415,62.24939294829656,1.765863846494136,C,20.75900900900901,20.22172619047619
J25 Bookworms 1,1,"Faerie Vandal",{1}{U},1080,437,643,1080,437,643,0.4046296296296296,68.85984450471543,74.1798524231239,1.7733359728028255,B,20.37299771167048,19.96734059097978
J25 Bookworms 1,1,"Shore Keeper",{U},1125,425,700,1125,425,700,0.37777777777777777,36.15411657690977,41.53835426544375,1.794745896177993,D,20.687058823529412,20.087142857142858
J25 Bookworms 1,1,"Reckless Scholar",{2}{U},1083,405,678,1083,405,678,0.3739612188365651,32.54645051559881,38.16012710562826,1.8712255300098162,D,20.97037037037037,19.706489675516224
